model,kernel,components,raw_features,svm_features,val_accuracy,test_accuracy
flattened crop PCA-pixels+SVM,rbf,10,1000,1000,0.9688,0.941
flattened crop PCA-pixels+SVM,rbf,8,800,800,0.9618,0.9375
flattened crop PCA-pixels+SVM,rbf,6,600,600,0.9444,0.9375
flattened crop PCA-pixels+SVM,rbf,3,300,300,0.9306,0.9167
mean spectrum PCA+SVM,rbf,8,220,8,0.9167,0.934
mean spectrum PCA+SVM,rbf,10,220,10,0.9167,0.934
mean spectrum PCA+SVM,rbf,6,220,6,0.9167,0.934
flattened crop PCA-pixels+SVM,poly,6,600,600,0.9132,0.8681
flattened crop PCA-pixels+SVM,poly,10,1000,1000,0.8924,0.875
flattened crop PCA-pixels+SVM,poly,8,800,800,0.8889,0.8819
mean spectrum PCA+SVM,rbf,3,220,3,0.8854,0.9097
flattened crop PCA-pixels+SVM,poly,3,300,300,0.8299,0.8125
mean spectrum PCA+SVM,linear,10,220,10,0.8194,0.8125
mean spectrum PCA+SVM,linear,8,220,8,0.809,0.7917
mean spectrum PCA+SVM,linear,6,220,6,0.8056,0.7882
mean spectrum PCA+SVM,poly,6,220,6,0.8056,0.7882
flattened crop PCA-pixels+SVM,linear,10,1000,1000,0.8056,0.7465
mean spectrum PCA+SVM,poly,10,220,10,0.8056,0.8021
mean spectrum PCA+SVM,poly,8,220,8,0.8056,0.7951
mean spectrum PCA+SVM,poly,3,220,3,0.7535,0.75
flattened crop PCA-pixels+SVM,linear,6,600,600,0.75,0.7604
flattened crop PCA-pixels+SVM,linear,8,800,800,0.75,0.7569
mean spectrum PCA+SVM,linear,3,220,3,0.7465,0.7812
flattened crop PCA-pixels+SVM,linear,3,300,300,0.7118,0.7639
flattened crop PCA-pixels+SVM,sigmoid,10,1000,1000,0.6493,0.6285
mean spectrum PCA+SVM,sigmoid,8,220,8,0.6354,0.6354
mean spectrum PCA+SVM,sigmoid,10,220,10,0.6354,0.6354
mean spectrum PCA+SVM,sigmoid,6,220,6,0.6354,0.6354
mean spectrum PCA+SVM,sigmoid,3,220,3,0.6319,0.6285
flattened crop PCA-pixels+SVM,sigmoid,6,600,600,0.6285,0.6007
flattened crop PCA-pixels+SVM,sigmoid,8,800,800,0.6215,0.6215
flattened crop PCA-pixels+SVM,sigmoid,3,300,300,0.5069,0.5868
